Descrição,Valor,Data Vencimento,Categoria,Tipo,Cartão,Natureza
"Entrada Carro",457.87,2026-01-09,Financiamento,Carro,Smiles,Parcelada
"Anuidade BB infinite",99,2025-12-05,Anuidade,Anuidade,BB infinite,Parcelada
"Condomínio",433.2,2025-12-09,Condomínio,Moradia,Smiles,Fixa
"Terra dos dinos",64,2025-08-15,Lazer,Compras,Azul Platinum,Avulsa
"Mercado",15.79,2025-08-09,Mercado,Alimentação,Smiles,Avulsa
"Condomínio",433.2,2026-03-09,Condomínio,Moradia,Smiles,Fixa
"Ifood",40,2025-08-05,Ifood,Alimentação,BB infinite,Avulsa
"Mercado Pago",72,2025-08-05,Contas,Compras,BB infinite,Avulsa
"Entrada Carro",457.87,2026-02-09,Financiamento,Carro,Smiles,Parcelada
"Luz",430.6,2026-05-09,Luz,Moradia,Smiles,Fixa
"Entrada Carro",457.87,2026-03-09,Financiamento,Carro,Smiles,Parcelada
"Iphone",549.9,2025-09-09,Celular,Compras,Smiles,Parcelada
"Ruja Coruja",100.2,2025-08-05,Roupas Bryan,Compras,BB infinite,Parcelada
"Pacheco",124.5,2025-08-05,Bryan,Farmácia,BB infinite,Parcelada
"Luiz Felipe",46,2025-08-09,Gerais,Gerais,Smiles,Avulsa
"Link",458.07,2025-09-15,Contas,Compras,Azul Platinum,Parcelada
"Nuvem",12,2025-08-23,Assinaturas,Entretenimento,Mercado Pago,Avulsa
"Internet",97.86,2025-08-09,Internet,Moradia,Smiles,Fixa
"Padaria",24,2025-08-09,Padaria,Alimentação,Smiles,Avulsa
"Farmácia",20,2025-08-05,Bryan,Farmácia,BB infinite,Avulsa
"Anuidade BB infinite",99,2025-09-05,Anuidade,Anuidade,BB infinite,Parcelada
"Luz",430.6,2025-11-09,Luz,Moradia,Smiles,Fixa
"Domínio",197.82,2025-08-15,Gerais,Gerais,Azul Platinum,Avulsa
"Entrada Carro",457.87,2025-08-09,Financiamento,Carro,Smiles,Parcelada
"Ifood",5.95,2025-08-05,Ifood,Alimentação,BB infinite,Avulsa
"Mercado Livre",51.72,2025-12-09,Mercado Livre,Compras,Smiles,Parcelada
